Id,Relation
7148,Contingency
7149,Expansion
7150,Expansion
7151,Contingency
7152,Contingency
7153,Contingency
7154,Expansion
7155,Expansion
7156,Expansion
7157,Expansion
7158,Contingency
7159,Contingency
7160,Contingency
7161,Contingency
7162,Contingency
7163,Comparison
7164,Contingency
7165,Contingency
7166,Contingency
7167,Contingency
7168,Contingency
7169,Expansion
7170,Contingency
7171,Expansion
7172,Contingency
7173,Expansion
7174,Contingency
7175,Comparison
7176,Comparison
7177,Temporal
7178,Expansion
7179,Comparison
7180,Comparison
7181,Expansion
7182,Expansion
7183,Contingency
7184,Expansion
7185,Contingency
7186,Expansion
7187,Contingency
7188,Contingency
7189,Contingency
7190,Expansion
7191,Expansion
7192,Expansion
7193,Expansion
7194,Comparison
7195,Contingency
7196,Contingency
7197,Temporal
7198,Contingency
7199,Contingency
7200,Expansion
7201,Temporal
7202,Contingency
7203,Contingency
7204,Expansion
7205,Expansion
7206,Contingency
7207,Expansion
7208,Contingency
7209,Expansion
7210,Comparison
7211,Expansion
7212,Comparison
7213,Contingency
7214,Contingency
7215,Contingency
7216,Expansion
7217,Comparison
7218,Expansion
7219,Expansion
7220,Expansion
7221,Expansion
7222,Expansion
7223,Comparison
7224,Temporal
7225,Contingency
7226,Expansion
7227,Expansion
7228,Expansion
7229,Contingency
7230,Contingency
7231,Expansion
7232,Contingency
7233,Contingency
7234,Contingency
7235,Contingency
7236,Contingency
7237,Comparison
7238,Expansion
7239,Expansion
7240,Contingency
7241,Expansion
7242,Expansion
7243,Temporal
7244,Expansion
7245,Expansion
7246,Comparison
7247,Contingency
7248,Contingency
7249,Temporal
7250,Temporal
7251,Expansion
7252,Contingency
7253,Contingency
7254,Expansion
7255,Comparison
7256,Contingency
7257,Expansion
7258,Expansion
7259,Expansion
7260,Comparison
7261,Contingency
7262,Contingency
7263,Expansion
7264,Contingency
7265,Temporal
7266,Comparison
7267,Expansion
7268,Expansion
7269,Expansion
7270,Expansion
7271,Contingency
7272,Expansion
7273,Contingency
7274,Temporal
7275,Temporal
7276,Contingency
7277,Contingency
7278,Temporal
7279,Contingency
7280,Temporal
7281,Contingency
7282,Contingency
7283,Expansion
7284,Temporal
7285,Contingency
7286,Expansion
7287,Contingency
7288,Contingency
7289,Expansion
7290,Temporal
7291,Expansion
7292,Contingency
7293,Expansion
7294,Expansion
7295,Temporal
7296,Contingency
7297,Contingency
7298,Expansion
7299,Expansion
7300,Temporal
7301,Expansion
7302,Contingency
7303,Contingency
7304,Contingency
7305,Temporal
7306,Temporal
7307,Contingency
7308,Temporal
7309,Contingency
7310,Contingency
7311,Contingency
7312,Contingency
7313,Contingency
7314,Expansion
7315,Temporal
7316,Temporal
7317,Contingency
7318,Contingency
7319,Contingency
7320,Contingency
7321,Contingency
7322,Temporal
7323,Expansion
7324,Contingency
7325,Expansion
7326,Expansion
7327,Expansion
7328,Contingency
7329,Temporal
7330,Contingency
7331,Expansion
7332,Contingency
7333,Contingency
7334,Contingency
7335,Contingency
7336,Comparison
7337,Expansion
7338,Contingency
7339,Contingency
7340,Temporal
7341,Contingency
7342,Contingency
7343,Expansion
7344,Temporal
7345,Contingency
7346,Expansion
7347,Contingency
7348,Comparison
7349,Contingency
7350,Contingency
7351,Contingency
7352,Contingency
7353,Expansion
7354,Contingency
7355,Expansion
7356,Temporal
7357,Expansion
7358,Contingency
7359,Temporal
7360,Comparison
7361,Contingency
7362,Comparison
7363,Contingency
7364,Expansion
7365,Contingency
7366,Temporal
7367,Contingency
7368,Contingency
7369,Contingency
7370,Expansion
7371,Contingency
7372,Contingency
7373,Expansion
7374,Contingency
7375,Contingency
7376,Expansion
7377,Temporal
7378,Contingency
7379,Expansion
7380,Expansion
7381,Contingency
7382,Comparison
7383,Contingency
7384,Temporal
7385,Expansion
7386,Expansion
7387,Contingency
7388,Contingency
7389,Expansion
7390,Expansion
7391,Temporal
7392,Comparison
7393,Expansion
7394,Comparison
7395,Expansion
7396,Expansion
7397,Contingency
7398,Comparison
7399,Expansion
7400,Comparison
7401,Expansion
7402,Contingency
7403,Temporal
7404,Expansion
7405,Contingency
7406,Contingency
7407,Expansion
7408,Contingency
7409,Contingency
7410,Contingency
7411,Expansion
7412,Expansion
7413,Contingency
7414,Comparison
7415,Expansion
7416,Contingency
7417,Expansion
7418,Contingency
7419,Contingency
7420,Temporal
7421,Contingency
7422,Contingency
7423,Expansion
7424,Expansion
7425,Contingency
7426,Expansion
7427,Contingency
7428,Contingency
7429,Temporal
7430,Contingency
7431,Contingency
7432,Expansion
7433,Comparison
7434,Expansion
7435,Expansion
7436,Expansion
7437,Comparison
7438,Contingency
7439,Expansion
7440,Contingency
7441,Expansion
7442,Comparison
7443,Contingency
7444,Expansion
7445,Contingency
7446,Expansion
7447,Contingency
7448,Expansion
7449,Contingency
7450,Comparison
7451,Contingency
7452,Expansion
7453,Expansion
7454,Contingency
7455,Contingency
7456,Expansion
7457,Expansion
7458,Contingency
7459,Temporal
7460,Temporal
7461,Temporal
7462,Expansion
7463,Expansion
7464,Comparison
7465,Comparison
7466,Contingency
7467,Contingency
7468,Temporal
7469,Expansion
7470,Contingency
7471,Comparison
7472,Temporal
7473,Comparison
7474,Contingency
7475,Contingency
7476,Contingency
7477,Contingency
7478,Expansion
7479,Contingency
7480,Contingency
7481,Expansion
7482,Contingency
7483,Expansion
7484,Expansion
7485,Comparison
7486,Expansion
7487,Contingency
7488,Comparison
7489,Temporal
7490,Contingency
7491,Expansion
7492,Expansion
7493,Contingency
7494,Expansion
7495,Contingency
7496,Contingency
7497,Expansion
7498,Contingency
7499,Comparison
7500,Contingency
7501,Contingency
7502,Contingency
7503,Expansion
7504,Temporal
7505,Contingency
7506,Comparison
7507,Expansion
7508,Contingency
7509,Contingency
7510,Expansion
7511,Contingency
7512,Contingency
7513,Contingency
7514,Temporal
7515,Contingency
7516,Expansion
7517,Comparison
7518,Expansion
7519,Contingency
7520,Contingency
7521,Temporal
7522,Expansion
7523,Temporal
7524,Comparison
7525,Contingency
7526,Temporal
7527,Contingency
7528,Expansion
7529,Expansion
7530,Comparison
7531,Expansion
7532,Contingency
7533,Contingency
7534,Expansion
7535,Temporal
7536,Expansion
7537,Contingency
7538,Contingency
7539,Comparison
7540,Expansion
7541,Contingency
7542,Expansion
7543,Contingency
7544,Contingency
7545,Contingency
7546,Expansion
7547,Comparison
7548,Temporal
7549,Expansion
7550,Expansion
7551,Contingency
7552,Expansion
7553,Expansion
7554,Contingency
7555,Temporal
7556,Expansion
7557,Contingency
7558,Expansion
7559,Contingency
7560,Contingency
7561,Contingency
7562,Temporal
7563,Contingency
7564,Contingency
7565,Contingency
7566,Comparison
7567,Expansion
7568,Expansion
7569,Comparison
7570,Contingency
7571,Temporal
7572,Comparison
7573,Contingency
7574,Contingency
7575,Contingency
7576,Expansion
7577,Contingency
7578,Comparison
7579,Expansion
7580,Contingency
7581,Contingency
7582,Contingency
7583,Expansion
7584,Contingency
7585,Expansion
7586,Contingency
7587,Expansion
7588,Contingency
7589,Expansion
7590,Contingency
7591,Contingency
7592,Expansion
7593,Contingency
7594,Contingency
7595,Contingency
7596,Contingency
7597,Expansion
7598,Expansion
7599,Expansion
7600,Contingency
7601,Contingency
7602,Expansion
7603,Temporal
7604,Expansion
7605,Comparison
7606,Expansion
7607,Contingency
7608,Temporal
7609,Comparison
7610,Contingency
7611,Temporal
7612,Contingency
7613,Temporal
7614,Expansion
7615,Contingency
7616,Contingency
7617,Contingency
7618,Contingency
7619,Contingency
7620,Temporal
7621,Contingency
7622,Expansion
7623,Contingency
7624,Temporal
7625,Expansion
7626,Expansion
7627,Comparison
7628,Temporal
7629,Contingency
7630,Contingency
7631,Contingency
7632,Temporal
7633,Expansion
7634,Comparison
7635,Contingency
7636,Expansion
7637,Contingency
7638,Expansion
